epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8373,1.59192,4.64687,1.33254,0.00073,0.2,0.199,0.0398,1.04703,4.38644,1.14355,3.333e-05,3.333e-05,3.333e-05
2,20.18,1.42496,4.67837,1.2099,0.0008,0.2,0.199,0.0398,0.96406,4.38774,1.12819,7.00708e-05,7.00708e-05,7.00708e-05
3,30.5916,1.48858,4.38714,1.20836,0.00084,0.2,0.199,0.0398,0.93553,4.38062,1.12045,9.80124e-05,9.80124e-05,9.80124e-05
4,39.8939,1.36679,4.30109,1.18331,0.00088,0.2,0.199,0.0398,0.94658,4.35392,1.13339,0.000117155,0.000117155,0.000117155
